predictor,importance,std,target,model_r2,n
ac1,0.8372548032730552,0.017729414112966947,nse_timesfm,0.7184658339236343,6569
rbi,0.2620070616946631,0.010508832555391971,nse_timesfm,0.7184658339236343,6569
ac7,0.023272011753297815,0.0022300770892090464,nse_timesfm,0.7184658339236343,6569
fdc_slope,0.015659529159116337,0.0019270619046000376,nse_timesfm,0.7184658339236343,6569
q_skew,0.01509212794446918,0.0038698382426365324,nse_timesfm,0.7184658339236343,6569
q_cv,0.009640673449261828,0.002521282183639933,nse_timesfm,0.7184658339236343,6569
q95_q50,0.007968532476196366,0.0036610509922014793,nse_timesfm,0.7184658339236343,6569
slope_mean,0.007848017487031534,0.0027379637208661497,nse_timesfm,0.7184658339236343,6569
ac30,0.006353890319640831,0.0020475672272787246,nse_timesfm,0.7184658339236343,6569
aridity,0.005577445028225547,0.002213821739889253,nse_timesfm,0.7184658339236343,6569
bfi,0.005221684817950767,0.0017546619451786248,nse_timesfm,0.7184658339236343,6569
area,0.004563229940515412,0.0009186284798182395,nse_timesfm,0.7184658339236343,6569
zero_q_frac,0.0045151481979092915,0.0015869815041448395,nse_timesfm,0.7184658339236343,6569
p_seasonality,0.004284555095253617,0.0018527300780134621,nse_timesfm,0.7184658339236343,6569
elev_mean,0.0015920278011382072,0.0007031676580418177,nse_timesfm,0.7184658339236343,6569
frac_snow,0.0012687189500422912,0.0007504822995598545,nse_timesfm,0.7184658339236343,6569
p_mean,0.0011345423942184518,0.0014790776741505675,nse_timesfm,0.7184658339236343,6569
ac1,0.25004944147568564,0.02244153131410027,d_tfm_pers,0.034343563081175255,6569
q95_q50,0.03649797305707175,0.010210841401305725,d_tfm_pers,0.034343563081175255,6569
rbi,0.034284128286532066,0.007363757032547872,d_tfm_pers,0.034343563081175255,6569
ac30,0.025570798027850818,0.008358867408524597,d_tfm_pers,0.034343563081175255,6569
fdc_slope,0.024344249400023343,0.007923662933377306,d_tfm_pers,0.034343563081175255,6569
bfi,0.02253503138963083,0.005476608442023463,d_tfm_pers,0.034343563081175255,6569
p_seasonality,0.01783075081396015,0.0035105997780467482,d_tfm_pers,0.034343563081175255,6569
q_skew,0.013316907339260475,0.0070104051756130084,d_tfm_pers,0.034343563081175255,6569
ac7,0.011442673061019749,0.005508737324270907,d_tfm_pers,0.034343563081175255,6569
zero_q_frac,0.00684338877151458,0.003922959989506201,d_tfm_pers,0.034343563081175255,6569
p_mean,0.0018347481518104836,0.0045203561224791775,d_tfm_pers,0.034343563081175255,6569
aridity,0.0015900487311674594,0.0027575851001730863,d_tfm_pers,0.034343563081175255,6569
area,0.00017578880506196047,0.0058881611146792785,d_tfm_pers,0.034343563081175255,6569
frac_snow,-3.406590516802366e-05,0.003353052998950922,d_tfm_pers,0.034343563081175255,6569
elev_mean,-5.881723768592639e-05,0.006268080924780963,d_tfm_pers,0.034343563081175255,6569
q_cv,-0.0015327745182767804,0.007407114600608308,d_tfm_pers,0.034343563081175255,6569
slope_mean,-0.007416982389915161,0.005522817349504207,d_tfm_pers,0.034343563081175255,6569
ac7,0.17404773581284094,0.014026389194180557,d_lstm_tfm,0.09087137217160057,5978
ac1,0.15129093926235612,0.015847034534289296,d_lstm_tfm,0.09087137217160057,5978
q_cv,0.07811471885539736,0.006499837708137449,d_lstm_tfm,0.09087137217160057,5978
q95_q50,0.06463769154600864,0.009476621854784647,d_lstm_tfm,0.09087137217160057,5978
rbi,0.06039129320669724,0.010701353038580604,d_lstm_tfm,0.09087137217160057,5978
bfi,0.053813255061258405,0.009287176030737273,d_lstm_tfm,0.09087137217160057,5978
frac_snow,0.030717523894671583,0.004346882224958177,d_lstm_tfm,0.09087137217160057,5978
q_skew,0.030075539710818756,0.008107200452412696,d_lstm_tfm,0.09087137217160057,5978
p_mean,0.021488918673936163,0.010319316972340288,d_lstm_tfm,0.09087137217160057,5978
slope_mean,0.019405976995030307,0.004419473794828355,d_lstm_tfm,0.09087137217160057,5978
fdc_slope,0.01868205478496714,0.008692629890636119,d_lstm_tfm,0.09087137217160057,5978
p_seasonality,0.017487619244158557,0.00874716027917915,d_lstm_tfm,0.09087137217160057,5978
ac30,0.015285054655616337,0.008028816161411122,d_lstm_tfm,0.09087137217160057,5978
zero_q_frac,0.009991065163824453,0.002910748994934796,d_lstm_tfm,0.09087137217160057,5978
elev_mean,0.008276139586855991,0.006673490297557113,d_lstm_tfm,0.09087137217160057,5978
aridity,0.002756253794305108,0.006567634707080343,d_lstm_tfm,0.09087137217160057,5978
area,0.0004979420405657354,0.007537972800578571,d_lstm_tfm,0.09087137217160057,5978
