model,predictor,n,rho,p,p_bh
patchtst,ac1,6563,-0.8569983536183752,0.0,0.0
patchtst,ac7,6563,-0.7798326854078858,0.0,0.0
patchtst,rbi,6563,0.7477369933257035,0.0,0.0
timesfm,ac1,6563,-0.43462607115638335,1.185566661921073e-300,7.706183302486974e-300
patchtst,bfi,6563,-0.4221515050306501,5.462092931452263e-282,2.840288324355177e-281
patchtst,q_cv,6563,0.39931833445749426,8.199853244130338e-250,3.5532697391231463e-249
timesfm,ac7,6563,-0.3667124959784453,4.671346586016182e-208,1.7350715890917247e-207
timesfm,rbi,6563,0.34768629680364244,7.80593335897714e-186,2.5369283416675704e-185
patchtst,area,3599,-0.2735535229999298,8.58161654063357e-63,2.4791336672941424e-62
patchtst,zero_q_frac,6563,0.18385694168477562,5.426413123803321e-51,1.4108674121888634e-50
timesfm,bfi,6563,-0.17520608500442175,2.1288623174824544e-46,5.03185638677671e-46
timesfm,q_cv,6563,0.16494464694109617,2.9867200525190713e-41,6.471226780457988e-41
timesfm,area,3599,-0.21935110745720252,1.8395544645625435e-40,3.679108929125087e-40
patchtst,elev_mean,3599,-0.14015081400093532,2.9970573740118006e-17,5.565963694593344e-17
timesfm,elev_mean,3599,-0.1318324304281992,2.0091467915445886e-15,3.4825211053439534e-15
timesfm,aridity,3599,-0.12203583801953505,2.041328984810404e-13,3.3171596003169064e-13
timesfm,zero_q_frac,6563,0.06669157151208832,6.379202389826978e-08,9.75642718444126e-08
patchtst,fdc_slope,6555,0.04504890965105612,0.0002638278414861286,0.000381084659924408
patchtst,aridity,3599,-0.05325685675885439,0.0013928630260191034,0.0019060230882366677
timesfm,regulation,2046,-0.06397423438190691,0.0037924715862091662,0.004930213062071916
timesfm,p_seasonality,3373,-0.048778640082519975,0.004602980747333418,0.005698928544317565
patchtst,p_seasonality,3373,0.0370091151066887,0.031607635358163515,0.037354478150556876
patchtst,frac_snow,3368,-0.03245286826602187,0.05967571115145912,0.06745949956251901
timesfm,fdc_slope,6555,0.02135537870247445,0.08383380410589748,0.09081995444805561
timesfm,frac_snow,3368,0.02691565452877569,0.11834951129488228,0.12308349174667757
patchtst,regulation,2046,-2.605210071104609e-05,0.9990603415207666,0.9990603415207666
