target,target_label,predictor,predictor_label,n,spearman_rho,p_value,p_bh
nse_timesfm,TimesFM zero-shot NSE,ac1,Lag-1 flow autocorrelation,6569,0.8455653767756862,0.0,0.0
nse_timesfm,TimesFM zero-shot NSE,ac7,Lag-7 flow autocorrelation,6569,0.7886692459263978,0.0,0.0
nse_timesfm,TimesFM zero-shot NSE,ac30,Lag-30 flow autocorrelation,6568,0.6853297030726214,0.0,0.0
nse_timesfm,TimesFM zero-shot NSE,bfi,Baseflow index (Lyne-Hollick),6569,0.44931370335533766,0.0,0.0
nse_timesfm,TimesFM zero-shot NSE,rbi,Richards-Baker flashiness,6569,-0.7566868213625892,0.0,0.0
nse_timesfm,TimesFM zero-shot NSE,q_skew,Flow skewness,6569,-0.6517859377278009,0.0,0.0
nse_timesfm,TimesFM zero-shot NSE,q_cv,Flow coefficient of variation,6569,-0.42614251611399706,3.8945463281074676e-288,3.1712734386017954e-287
d_tfm_pers,TimesFM - persistence (FM value-add),ac1,Lag-1 flow autocorrelation,6569,-0.24707796253741857,5.9525100794868716e-92,4.241163431634396e-91
nse_timesfm,TimesFM zero-shot NSE,q95_q50,Q95/Q50 ratio,6561,-0.22461731642714183,8.056872177246327e-76,5.102685712256007e-75
nse_timesfm,TimesFM zero-shot NSE,zero_q_frac,Zero-flow day fraction,6569,-0.21501044346641968,1.4569319033366992e-69,8.304511849019185e-69
d_tfm_pers,TimesFM - persistence (FM value-add),ac7,Lag-7 flow autocorrelation,6569,-0.18219339603667595,3.907294817059611e-50,2.0246891324763436e-49
nse_timesfm,TimesFM zero-shot NSE,area,Catchment area,3602,0.23166852192540585,4.297683481113152e-45,2.0413996535287473e-44
d_tfm_pers,TimesFM - persistence (FM value-add),rbi,Richards-Baker flashiness,6569,0.17119545978359538,2.186228888496795e-44,9.585772818793639e-44
d_lstm_tfm,LSTM - TimesFM (value of local training),ac7,Lag-7 flow autocorrelation,5978,-0.1734227850478618,1.397276497682657e-41,5.688911454850818e-41
d_lstm_tfm,LSTM - TimesFM (value of local training),ac30,Lag-30 flow autocorrelation,5977,-0.1608388557374665,6.293034062069663e-36,2.3913529435864717e-35
d_lstm_tfm,LSTM - TimesFM (value of local training),rbi,Richards-Baker flashiness,5978,0.1502854880929857,1.5445258863838951e-31,5.502373470242626e-31
d_tfm_pers,TimesFM - persistence (FM value-add),ac30,Lag-30 flow autocorrelation,6568,-0.1406647583472136,2.226150999270305e-30,7.464153350494553e-30
d_tfm_pers,TimesFM - persistence (FM value-add),q_skew,Flow skewness,6569,0.13643281489469097,1.1513405188475844e-28,3.6459116430173507e-28
d_tfm_pers,TimesFM - persistence (FM value-add),area,Catchment area,3602,-0.17306590965529692,1.2873137277787564e-25,3.8619411833362687e-25
d_lstm_tfm,LSTM - TimesFM (value of local training),bfi,Baseflow index (Lyne-Hollick),5978,-0.1287920272718768,1.5635668136734708e-23,4.456165418969392e-23
d_tfm_pers,TimesFM - persistence (FM value-add),slope_mean,Mean slope,3602,-0.16193938654204906,1.3679361456414811e-22,3.712969538169735e-22
d_tfm_pers,TimesFM - persistence (FM value-add),elev_mean,Mean elevation,3602,-0.14565422201659484,1.5562096757739203e-18,4.031997796323339e-18
d_lstm_tfm,LSTM - TimesFM (value of local training),q_skew,Flow skewness,5978,0.10776332620970352,6.56604565409857e-17,1.6272374012331237e-16
d_lstm_tfm,LSTM - TimesFM (value of local training),ac1,Lag-1 flow autocorrelation,5978,-0.09775875764720741,3.590337270260798e-14,8.527051016869396e-14
d_tfm_pers,TimesFM - persistence (FM value-add),p_mean,Mean precipitation,3602,-0.1238379160678792,8.752355697659773e-14,1.9955370990664284e-13
d_tfm_pers,TimesFM - persistence (FM value-add),aridity,Aridity (PET/P),3602,-0.11794910929226324,1.2362918792121776e-12,2.7103321967343894e-12
d_lstm_tfm,LSTM - TimesFM (value of local training),q95_q50,Q95/Q50 ratio,5971,0.09130562539689403,1.5641191004204883e-12,3.302029211998809e-12
nse_timesfm,TimesFM zero-shot NSE,elev_mean,Mean elevation,3602,0.11520433312804124,4.0656546131693616e-12,8.276511176809058e-12
d_tfm_pers,TimesFM - persistence (FM value-add),q_cv,Flow coefficient of variation,6569,0.08231544048044656,2.362089634359376e-11,4.6427279020167046e-11
nse_timesfm,TimesFM zero-shot NSE,slope_mean,Mean slope,3602,0.10699579126001968,1.212262641590722e-10,2.3032990190223718e-10
d_lstm_tfm,LSTM - TimesFM (value of local training),q_cv,Flow coefficient of variation,5978,0.07766508093444804,1.8245925560107799e-09,3.3548959900843375e-09
nse_timesfm,TimesFM zero-shot NSE,p_mean,Mean precipitation,3602,0.09792875757786278,3.874184461776188e-09,6.900891072538835e-09
