basin_id,model,mode,dataset,NSE,KGE,RMSE,MAE,PBIAS,FDC_slope_error,FDC_KGE,tail_RMSE_95,tail_RMSE_99,RB_flashiness_obs,RB_flashiness_sim,n_predictions
10005,patchtst,zero_shot,CAMELS-IND,-0.019709587916349802,-0.24455457715607398,23.360359632230438,15.072226216395697,-32.09107747940307,-0.03359611640062237,0.047009085950870944,75.93169165344322,84.5793342590332,0.645809,0.020912318,30
10008,patchtst,zero_shot,CAMELS-IND,-0.008591899999276675,-0.3675118872174883,708.5263078899259,222.1299238839048,-16.783314199549093,0.001074078863653365,-0.13438233895191476,3012.416175137678,5963.929910664243,1.2900343,0.021591196,188
10010,patchtst,zero_shot,CAMELS-IND,-0.03122328149655118,-0.2518711905274218,107.80054121302553,81.0468936559281,53.816476109216055,,0.008399056341992006,341.40290892869047,492.13578558727284,0.6882948,0.02395141,183
10011,patchtst,zero_shot,CAMELS-IND,-0.00028097436407681364,-0.23588983326589696,207.39954152472254,104.65807326233133,3.5978834294078497,-0.0046880144527361965,0.06518438671440874,825.3566454238488,1423.1268892897563,0.9351203,0.021676423,188
10013,patchtst,zero_shot,CAMELS-IND,-0.0027754204202972144,-0.2298058274355319,41.097383513096446,15.089987639499748,1.633894846003516,0.011675509561240907,0.017370883438626694,170.23035900514378,352.3534979826569,0.85161144,0.020465827,184
10014,patchtst,zero_shot,CAMELS-IND,-0.023623752239337437,-0.2838786415209311,72.9684600776033,41.66400319499814,-2.5112419678279396,-0.006710001457712247,0.13253376332517597,274.65975404489086,386.5774692575019,0.7218835,0.023155369,184
11001,patchtst,zero_shot,CAMELS-IND,-0.003209404966755036,-0.4783653584525138,290.9688579947949,42.176217793763335,-61.50254062619031,,-0.3247311113871447,1239.5008172584342,2740.4221761696517,1.4983553,0.030957084,182
11010,patchtst,zero_shot,CAMELS-IND,-0.010375798795865476,-0.3334628615204316,178.5060799067386,70.34463316836256,7.24548212100008,-0.011560281759828341,-0.01564281482056895,748.4771853505626,1490.3556094835787,0.88658905,0.018354617,188
12001,patchtst,zero_shot,CAMELS-IND,-0.09894282007284372,-0.3275473309163066,39.04143516793014,28.75546978834348,19.261937137074895,-0.07865148424740954,0.18807211971775528,129.20123790202703,229.40282329076555,0.48923594,0.022397868,156
12004,patchtst,zero_shot,CAMELS-IND,-0.060987553047368914,-0.3851364939276736,444.99905013712447,234.47377791228118,-0.24879460267378914,-0.0032394717791717816,-0.05092796181254888,1657.6098280730728,2309.180632097516,0.6139823,0.011101484,108
12006,patchtst,zero_shot,CAMELS-IND,0.01484769634032923,-0.2267121915302981,58.24718791853924,29.88351490427839,-4.495287031629649,-0.05043791408006913,0.09273468509025329,232.0118258198633,371.48750618822845,0.9268857,0.02575908,188
12009,patchtst,zero_shot,CAMELS-IND,-0.39697273842664305,-0.2760324856857581,43.825494841426796,33.470720935474944,71.78630042624481,-0.07583563812410554,0.13851531768617897,118.02835858280989,149.39484179781326,0.71603477,0.026937218,135
12012,patchtst,zero_shot,CAMELS-IND,-0.025751425794241722,-0.41594837455463307,216.78185760023578,65.53498933207221,-16.06837219417177,2.599385665676482e-05,-0.15129231818583588,929.0444432259022,1854.8661853119895,1.0537281,0.021992523,171
12015,patchtst,zero_shot,CAMELS-IND,-0.011294441528386434,-0.3198633047590411,19.389432021860312,11.212621424151095,-14.121160979464806,,0.046676662058951046,73.88198427342056,116.47145863384097,0.8221915,0.026723538,152
12016,patchtst,zero_shot,CAMELS-IND,-0.0022308231958425573,-0.3093070938251472,113.67275252618981,45.20298498742124,1.3648596226821312,-0.021052535092570296,-0.0034682218868249404,472.58804109506735,1011.586260360505,1.0509644,0.02249582,188
12018,patchtst,zero_shot,CAMELS-IND,-0.12158119101377585,-0.38887635308208157,98.73945645820866,69.99256981011214,21.046910232527576,-0.04012445946282977,0.11819236831031588,337.4762069747797,432.3802365358065,0.70013785,0.025189353,168
12020,patchtst,zero_shot,CAMELS-IND,-0.1437454587896585,-0.29636467130345356,935.6447962603283,539.7132945365095,64.4184491500086,-0.006946524300510815,0.04109040757847493,3320.9476673969107,6893.98573691134,1.0048087,0.021307215,188
12025,patchtst,zero_shot,CAMELS-IND,-0.0464132368254746,-0.3249695307007705,1425.2255271205229,683.4973646123359,9.291237883283939,-0.009026470263096657,0.0894312313828951,5697.113738719351,11001.848378726094,0.73688096,0.018491078,188
12026,patchtst,zero_shot,CAMELS-IND,-0.12539769242618437,-0.19610520290002298,698.3452584642627,398.60986468132506,32.16967460087599,-0.0071268243498488325,0.21498076927164056,2581.78740189326,5105.080398758835,0.49460644,0.017010635,188
12029,patchtst,zero_shot,CAMELS-IND,-0.019273549946393853,-0.21486180697600354,53.87859464646823,39.87140579533771,27.715915312741142,-0.037973769385044695,0.1418205013021071,162.08361489601748,209.74372386675088,0.8017359,0.026252622,123
