dataset,model,n,median_NSE,median_KGE,median_PBIAS,median_FDC_KGE,median_tail_RMSE_95,flashiness_ratio
CAMELS-US,chronos,673,0.5467515828195313,0.6630351971756667,-9.14278980591443,0.7859277609047183,527.6779623727555,0.9236388860191567
CAMELS-US,timesfm,673,0.5067002918982266,0.493943319608051,-18.284166361667435,0.5717211792793442,627.8884759403528,0.8154274805068703
CAMELS-US,patchtst,673,0.0029505117918614,-0.2043454542162861,-0.4512400530937402,0.1328135874436959,882.5230041910148,0.022361563027870877
CAMELS-US,persistence,673,0.4650290522194923,0.732509437225936,-0.0006256127405135,0.9999580570803762,674.5405160174424,0.9999940579375081
CAMELS-BR,chronos,2670,0.7724126538864825,0.8222773141789714,-3.721830169376874,0.8927028418722257,35.76122018094462,0.9906739932992134
CAMELS-BR,timesfm,2670,0.7907187223602283,0.7718021566550838,-7.720535393904066,0.797676925815357,41.23401385196853,0.8797204331131006
CAMELS-BR,patchtst,2670,0.0220238943855842,-0.10300107614910764,3.0114238820034815,0.2269841038503747,91.57767134767002,0.02909138894417741
CAMELS-BR,persistence,2753,0.8052215741847443,0.9025641108949064,0.0018306641983582,0.9998332935070409,37.59681295636913,1.0000079377015045
CAMELS-CL,chronos,430,0.7954123656165301,0.8402605965571668,-3.1478497387736004,0.9009684625402539,1.928598431171837,0.9883717619537111
CAMELS-CL,timesfm,430,0.8064265464295595,0.8030131594650626,-6.355856327177262,0.8340406588186995,2.4228896024767295,0.8818159657555005
CAMELS-CL,patchtst,430,0.02039676374273535,-0.10447402902279095,1.7462918628622803,0.23532087614841823,5.526783872278611,0.03730292426120559
CAMELS-CL,persistence,436,0.8176357437978667,0.9088185508685824,-0.0032958234867507003,0.9998839335829512,2.4659403058678686,1.000003692761817
CAMELS-AUS,chronos,560,0.31030494823605237,0.4659662211594461,-16.74389086646498,0.6606084179162682,3.446934417943815,0.9067757614138439
CAMELS-AUS,timesfm,560,0.4021551463340035,0.32180771554212795,-28.96372967470431,0.42919888746150164,3.549767521236149,0.8208408659351782
CAMELS-AUS,patchtst,560,0.0028816950088936,-0.2164516617796067,0.8324573118465405,0.05742996549673185,4.485039055107366,0.021212362465539807
CAMELS-AUS,persistence,560,0.33377742348469686,0.6668885305027381,0.0027405844846088,0.9999475409833247,3.8175644207839388,0.9999745078173901
LamaH-CE,chronos,880,0.5785503870352341,0.7117763027125412,-6.829201189957979,0.8311419402090903,6.997391428007458,0.8952761565585423
LamaH-CE,timesfm,880,0.6898815911640248,0.707340359905878,-8.181075398226987,0.7545379277490541,6.657942926036449,0.7974605666143464
LamaH-CE,patchtst,880,0.0053704230522280995,-0.17126112528836446,0.27106583340063817,0.18733900160344952,10.628385507325547,0.024084504696032856
LamaH-CE,persistence,881,0.6895654885130369,0.8447846037536156,-0.0063634082744389,0.99990990025925,6.453863001970468,0.9998533868317165
CAMELS-IND,chronos,241,0.3692894096543837,0.5680125190004632,-11.570039962274231,0.7804884182253553,499.1876707686169,0.9812626801001328
CAMELS-IND,timesfm,241,0.5009075415057939,0.4487792640175289,-26.257041840962184,0.5143551356915598,485.0924990279007,0.7923697111017632
CAMELS-IND,patchtst,241,0.002725982256354,-0.2230155877079802,0.201110838711128,0.0803079569710401,613.9649929916433,0.026036733379890285
