dataset,basin_id,n,ac1,nse_model,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,model,wet_dry
CAMELS-US,01013500,408,0.9932626278526466,0.9930142,0.985062,0.050047725439071655,0.02298550307750702,-0.022853897451289962,-0.022301696309226182,0.03419694213903124,-0.03759316571385973,-0.4165584113958918,0.2076994695614927,chronos,2.1773604549924768
CAMELS-US,01022500,408,0.895287152528639,0.8494741,0.7969798,0.2836672365665436,0.07023097574710846,0.412052284252978,0.2801709393001013,0.36094576648795995,-0.03489233219638632,-0.098280153794301,0.3100391007687963,chronos,4.039061589974032
CAMELS-US,01030500,408,0.9772337055073875,0.9877423,0.9539901,0.08547904342412949,0.04307984933257103,0.30315885044084323,0.2993073699656209,0.34185226557648807,-0.029854868771372,-0.2178167772488635,0.21591945883081748,chronos,1.9842001480609182
CAMELS-US,01031500,408,0.8028753786991824,0.52265257,0.5261585,0.5347675681114197,0.16308718919754028,0.1258084078015692,0.02224102718202281,0.2110185072796914,0.011283143785356109,-0.06795118411644485,0.30576183435428395,chronos,3.2790286640091604
CAMELS-US,01047000,438,0.7573569280301272,0.486822,0.59307015,0.6759742498397827,0.16132915019989014,0.1120359968638388,0.059510803169766646,0.05953325487475125,-0.03800182391007567,-0.057011504284926406,0.30748868958673053,chronos,4.190031677488146
CAMELS-US,01052500,438,0.8106942734540035,0.58639777,0.5691785,0.4997422695159912,0.174861341714859,0.15365515567973176,0.13604146752099433,0.11054085525250801,-0.014351844223470023,-0.0041883137139910875,0.29813853473219776,chronos,2.8579345475394184
CAMELS-US,01054200,438,0.4649654361364016,0.31510592,-0.38013756,0.769706130027771,0.16967982053756714,0.1455182099290342,0.026262025141334244,-0.04310831559307493,0.0017256055642768109,-0.11309113206788068,0.36268544107910033,chronos,4.536226686174258
CAMELS-US,01055000,438,0.6264298576037627,0.2974668,0.17841822,0.7585322856903076,0.1707722246646881,0.04552746202873359,-0.037707539640900345,0.011257698532579075,-0.011307147633186965,-0.12575164188047627,0.3344229857580873,chronos,4.441777854564397
CAMELS-US,01057000,438,0.7496911997037088,0.37707794,0.3985889,0.6282493472099304,0.09910167008638382,0.009682161482386875,0.027725145794453288,0.16749974652350863,-0.02535208934570754,-0.029728897364344142,0.37608567973420787,chronos,6.339442581162408
CAMELS-US,01073000,411,0.7747861528143111,0.8016424,0.78911436,0.4504892826080322,0.11564579606056213,0.34134555399572786,0.2803660671439291,0.04795053125649251,0.015707973827114197,-0.21743177376224132,0.2588086953263211,chronos,3.8954229029831495
CAMELS-US,01078000,422,0.8772776283422606,0.8087714,0.7628422,0.433591365814209,0.07990064471960068,0.2690056203524126,0.4197457975360309,0.40510146788936086,-0.015248924663211483,-0.10886953624964057,0.3680528059007554,chronos,5.426631629016672
CAMELS-US,01118300,255,0.6798440489564788,0.52439535,0.31340623,0.6163603663444519,0.12167506664991379,0.40520667768625396,0.22387643998387596,0.20280215602233942,-0.3575284776944945,-0.14138389409366625,0.2668145966037252,chronos,5.0656258781255294
CAMELS-US,01121000,255,0.6069946818899719,0.100571156,-0.045622945,0.8318294286727905,0.14551174640655518,0.15539854324422064,-0.31212750001575484,-0.052006447038376535,-0.6883431070275761,-0.4576433048472828,0.4175477661609846,chronos,5.7165792399239415
CAMELS-US,01123000,286,0.6546799220218149,0.40585434,-0.050649047,0.4447936415672302,0.18584713339805603,-0.08797016699019089,-0.10474263203719247,-0.3273441466267759,-0.03900738505490331,-0.15549967405660103,0.3244232086443602,chronos,2.393330655332469
CAMELS-US,01134500,424,0.771225669291011,0.52902865,0.5588071,0.5492120981216431,0.14427976310253143,0.14177633406172085,0.14665048139881043,0.15096477451257262,-0.3199997296155346,-0.11899944799295303,0.34889916653510544,chronos,3.80657748745643
CAMELS-US,01137500,414,0.6781321875884803,0.3917266,0.4241603,0.5950112342834473,0.08445416390895844,0.15399056897526964,0.09765434397277062,0.011584359001871825,0.015625057437630097,-0.032627931291046464,0.3392768413329953,chronos,7.045374754107675
CAMELS-US,01139000,428,0.7827433569122029,0.7232674,0.69781923,0.4508730471134186,0.07343858480453491,0.30713271922324825,0.3039735177672185,0.17867652259716071,0.0582746423115873,-0.07633607820979749,0.3524229810721554,chronos,6.139457184713841
CAMELS-US,01139800,424,0.7373668465596193,0.5341471,0.2416802,0.40668678283691406,0.15166659653186798,-0.0021635946948961315,-0.02873782924980639,-0.6094167894581801,-0.008009220874182432,-0.03259957122095636,0.30538258395800494,chronos,2.68145255538494
CAMELS-US,01142500,410,0.8005786620110525,0.7477912,0.73014396,0.42015403509140015,0.0945771187543869,0.034774528536523186,-0.00966002730611959,-0.5414839759170618,-0.010585584848034957,-0.07641297123181445,0.3188332169526659,chronos,4.442449089430646
CAMELS-US,01144000,413,0.7589355376260839,0.72947216,0.83214396,0.45393824577331543,0.07511040568351746,0.12033019131833511,-0.023523985308210538,0.09948775494485074,0.07370916275559325,0.07297610558398926,0.3839923278244149,chronos,6.043613286899468
CAMELS-US,01162500,419,0.8999081352387114,0.8413764,0.7884389,0.3181348741054535,0.09270848333835602,0.4196504793667323,0.403719038478499,0.5111407243611067,-0.04337705867402519,-0.14706077180889632,0.32026129659802527,chronos,3.4315616289866804
