dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,wet_dry
CAMELS-US,01013500,1222,0.9932626278526466,0.9830718,0.9861156,0.07828458398580551,0.06638544052839279,0.041741799097152255,-0.0240074753659254,0.11185679581794994,-0.011443963986310424,-0.0746770047433225,0.048711536622210796,1.1792432702517581
CAMELS-US,01022500,1222,0.895287152528639,0.80536383,0.7833688,0.34531673789024353,0.12486478686332703,0.37809697187888447,0.33643028185898893,0.49103245939665985,0.04997982332259299,-0.013397614726501805,0.26318715427467615,2.765525386017886
CAMELS-US,01030500,1222,0.9772337055073875,0.94576097,0.9517281,0.165874183177948,0.11178065836429596,0.23414008796200902,0.13703590867793725,0.40665031915504124,0.02638946551046184,-0.036045154636159316,0.09666117010686047,1.4839256236741771
CAMELS-US,01031500,1222,0.8028753786991824,0.6082852,0.56350154,0.5257434844970703,0.14419198036193848,0.22618478469698577,0.1211445521322213,0.09940106570477836,0.025151494657353557,-0.0614251340205858,0.2785926234006595,3.6461354034904967
CAMELS-US,01047000,1314,0.7573569280301272,0.5380757,0.4723705,0.6207195520401001,0.14439958333969116,0.37511863651691824,0.2733467283472696,0.21951113716496118,0.017502265294733976,-0.15753714541272323,0.29972664082041345,4.298624259738308
CAMELS-US,01052500,1314,0.8106942734540035,0.61292756,0.55987394,0.5308923721313477,0.19947795569896698,0.3075860719816015,0.31309366659170557,0.28889690551709046,0.03165710749674333,-0.008642658276731607,0.3540486419870374,2.661408726949857
CAMELS-US,01054200,1314,0.4649654361364016,0.17208892,-0.18033135,0.8412488698959351,0.1783711314201355,0.2423657352528138,0.027147372891766164,-0.0605016254091757,0.018953318566450772,-0.2739070815006024,0.3547123771596135,4.716283757344438
CAMELS-US,01055000,1314,0.6264298576037627,0.3453865,0.18051839,0.7891234755516052,0.16024136543273926,0.31131529823628246,0.29591950851522686,0.17036259040615986,0.017724322183191976,-0.07320147990355164,0.3648948247181477,4.924592806735892
CAMELS-US,01057000,1314,0.7496911997037088,0.48508853,0.4564191,0.6089997887611389,0.14192742109298706,0.34378719906848476,0.3189856097176018,0.33392558809975315,0.024093800666586396,-0.10809769900722332,0.3565745906759671,4.290924079865712
CAMELS-US,01073000,1231,0.7747861528143111,0.6754769,0.6964643,0.5200258493423462,0.14826178550720215,0.41176612792623357,0.3310751526023987,0.3654257358070506,0.033147360718205565,-0.025989811644981042,0.28549161490399394,3.5074840597888577
CAMELS-US,01078000,1265,0.8772776283422606,0.71616966,0.71331286,0.47753626108169556,0.1560216248035431,0.22905976743494605,0.22304173434017383,0.27198915525617173,0.051029715083637406,-0.10246351007270316,0.2785675860864565,3.0607056020791497
CAMELS-US,01118300,765,0.6798440489564788,0.4606502,0.3950519,0.646452009677887,0.14058898389339447,0.5685176631261858,0.5208958743832641,0.5144333037583886,0.02996846134037401,-0.05071900811386665,0.29883743602154694,4.598169726925954
CAMELS-US,01121000,765,0.6069946818899719,0.36831188,0.16613299,0.7131872177124023,0.12760992348194122,0.6380822273378435,0.48955296732614695,0.2889910015131717,0.01128723550888866,-0.13136993471334968,0.39731605282467963,5.5888068753001745
CAMELS-US,01123000,857,0.6546799220218149,0.3259393,0.16943932,0.6936622858047485,0.12403661757707596,0.5687737672484139,0.3242529561799957,0.061106662680117996,-0.013219310398742357,-0.23274692817154508,0.37141181733150036,5.592399239472239
CAMELS-US,01134500,1272,0.771225669291011,0.5943564,0.51537544,0.5426367521286011,0.18487420678138733,0.27935182818428816,0.23369875930247574,0.19939887720868565,0.04296652495990083,-0.06484035164415869,0.39694706036674837,2.9351674393944305
CAMELS-US,01137500,1242,0.6781321875884803,0.36155474,0.22588938,0.5780026912689209,0.1374654620885849,0.3520041120484695,0.22726563921175802,0.15549423976485077,0.038104980411873046,-0.044629004679666906,0.36145513187187445,4.204712096311486
CAMELS-US,01139000,1284,0.7827433569122029,0.60700047,0.5524067,0.4730650782585144,0.11751362681388855,0.3524761907636964,0.26137731965042155,0.2581392378785631,0.04014774179599612,-0.18174886873344365,0.38670542339700653,4.0256189097774016
CAMELS-US,01139800,1271,0.7373668465596193,0.47159553,0.31155604,0.464520663022995,0.12970833480358124,0.2122225150932674,-0.08963427051819028,-0.11382482722837306,-0.10707290154477822,-0.02954217988453678,0.3846958221844037,3.581270731186425
CAMELS-US,01142500,1229,0.8005786620110525,0.6073704,0.5782426,0.4899091124534607,0.10205703228712082,0.21268821246837333,0.09430298165186812,-0.10963922664114545,0.02894255156467407,-0.05372072588384236,0.4251128149905027,4.800346448201446
CAMELS-US,01144000,1238,0.7589355376260839,0.4899404,0.447743,0.5113945603370667,0.12258222699165344,0.05588882354375413,-0.013535352681844248,0.06362420777971489,0.04045053224144024,-0.3533984561651824,0.37602501295722396,4.171849156989841
CAMELS-US,01162500,1255,0.8999081352387114,0.76840454,0.7808448,0.40922218561172485,0.11876311153173447,0.49196879912452895,0.40618981700236745,0.5265999690068295,0.040566780193282304,0.037187324870878835,0.2996141479208213,3.4457011131977406
CAMELS-US,01169000,1285,0.5103651045586348,0.22897726,-0.121701,0.7834465503692627,0.13156244158744812,0.27344530714208826,0.3226362997209906,-0.0770323672049329,0.07372807904410417,-0.30672020854017057,0.4250356925003633,5.954940794014638
CAMELS-US,01170100,1285,0.5588643645679212,0.25726616,-0.033397555,0.7270850539207458,0.11608894914388657,0.365838917517631,0.2361638964606434,-0.16863302802155955,0.029250883589616028,-0.09996854383649567,0.4064211259718667,6.26317198392036
CAMELS-US,01181000,1224,0.3840577149394711,0.12965685,-0.37116182,0.843572199344635,0.1140143871307373,-1.5096554317479645,-0.03039645227879717,-1.048343535865285,-0.011410172139632913,-1.1715919211927686,0.3907044891279071,7.398822381751988
CAMELS-US,01187300,765,0.4435681763694763,0.118249655,-0.3597703,1.048574686050415,0.13050900399684906,-1.3066539444167131,0.14069536565133334,-0.8829216964521678,0.03262196072698509,-0.5872830978097359,0.4162280253106614,8.034500715948543
CAMELS-US,01195100,857,0.5871160251636195,0.31360692,0.088397086,0.9158140420913696,0.17343655228614807,0.34277396783267655,0.3487820355128236,0.27294885923432477,0.011024197639702527,-0.0233919580484081,0.26358107629779043,5.280398105356672
CAMELS-US,01333000,1244,0.7720800799874514,0.5207742,0.44888604,0.4191484749317169,0.1036582812666893,-0.22976637748492368,0.11793076981905015,-0.011274394379316988,0.0461816105759707,-0.03113076177071461,0.3082133612455373,4.043559953047483
CAMELS-US,01350000,857,0.3767604510846037,0.089742064,-0.44532585,0.933519184589386,0.1039019450545311,-3.9314794998304494,-0.7819513009632979,-3.4438065704409198,0.003544482709297636,-0.9122371216508751,0.37226256330363866,8.984617026172561
CAMELS-US,01350080,857,0.5715072625536965,0.18105787,-0.23478091,0.7671582698822021,0.11551457643508911,-3.477562471651174,-0.06260355873124457,-2.8577553153925743,-0.35688025261648626,-0.6150329656957676,0.3489352730310311,6.641224800865629
CAMELS-US,01350140,857,0.5499169437470665,0.22135365,-0.052406907,0.8899447321891785,0.13970887660980225,-0.6939413991773371,0.12194978191615591,-0.8971187397662637,0.03921280092005186,-0.7111662159667897,0.37169740379576816,6.369994189236349
CAMELS-US,01365000,857,0.5526887310934717,0.29331368,0.03645432,0.6028963923454285,0.09571660310029984,-0.3668419553734459,0.1316987245707235,-0.23531593473752355,-0.06786029990841036,-0.06992862231985164,0.38582225582093405,6.298765029444927
