dataset,basin_id,model,NSE,RMSE,tail_RMSE_95,tail_RMSE_99,sigma_obs,mean_obs,sigma_rel_spread,rel_tail95_sigma,rel_tail99_sigma,rel_tail95_mean,rel_tail99_mean
CAMELS-AUS,003303A,chronos,0.1715960334943037,0.2017427140817257,0.8728663312369266,1.949013583272872,0.22165461310964352,,3.756597964676606e-16,3.937956981771253,8.793020618563776,,
CAMELS-AUS,102101A,chronos,0.4557762200572083,7.797552938441424,32.26189427047789,62.45491451454694,10.569868267033854,3.20041117997804,1.6805855991039107e-16,3.052251310557848,5.908769431813668,10.080546672349538,19.51465327495059
CAMELS-AUS,104001A,chronos,0.5944230925517205,1.2996496325046407,5.581474606454536,10.655040930580206,2.040749405422397,0.719788523265237,4.3522169715702496e-16,2.7350122418873255,5.221141264218481,7.754325647114829,14.803015866722703
CAMELS-AUS,105101A,chronos,0.6452421900463157,1.5655340847497632,5.620220882337874,7.1096118407993325,2.628430783601556,0.6741355237509802,1.6895602220940286e-16,2.1382419188672244,2.7048883634886995,8.33693031197379,10.546264942752908
CAMELS-AUS,105102A,chronos,0.3262959736537235,3.7984760878989183,16.39565905219952,34.30051780052042,4.627802595711533,0.8426187194144158,1.9192227873401029e-16,3.5428605073589265,7.411836847212505,19.45798102324834,40.707044610114785
CAMELS-AUS,105105A,chronos,0.5289584097561986,3.799590663612736,16.045764422597536,33.682991176705144,5.536141534869547,1.2261197035932578,3.2086550320504197e-16,2.8983660048307702,6.0841997923195885,13.086621457573784,27.471209440639445
CAMELS-AUS,107001B,chronos,0.4065005178321027,1.230812930796427,5.088054594151134,7.38906260467573,1.5976508620347902,0.6298594533628319,2.7796386582514306e-16,3.184709948249217,4.624954538105351,8.07807927147225,11.731287932927545
CAMELS-AUS,108002A,chronos,0.5586453858978355,8.938166932382446,38.176103786593565,84.37214846330066,13.454099209666854,3.6294771112375743,1.3203090089628052e-16,2.8375072304479363,6.271110919315858,10.518348130201137,23.24636466285127
CAMELS-AUS,108003A,chronos,0.6957439112681041,3.499699241890718,13.36154413619693,23.634984044715303,6.344699890328581,3.815362812532512,1.399874596202734e-16,2.1059379272712864,3.7251539794250674,3.5020376285860944,6.1946884755180545
CAMELS-AUS,111005A,chronos,0.5802727914957442,4.549306975896465,16.821153446137693,28.136629269920046,7.022013845771676,3.773794222228026,2.529697147307518e-16,2.3954885045216185,4.006917372693959,4.45735841850078,7.455793191953203
CAMELS-AUS,111007A,chronos,0.5929610913975454,5.971075296615625,25.10872226382349,45.21319570903342,9.359110722162596,3.5476934493043024,0.0,2.6828106867424317,4.830928605424819,7.07747797903657,12.744391914103984
CAMELS-AUS,112002A,chronos,0.1386840118962494,7.307890327748884,22.52123177789469,41.74465313592816,7.874278421942165,4.510458342614616,2.25589793021583e-16,2.8601010240046736,5.30139409594714,4.9931137962444,9.255080075017316
CAMELS-AUS,112101B,chronos,0.648502318573551,3.538494525349324,14.719160054718502,21.9400054159988,5.968391396981667,3.6743614390400943,2.976274043117529e-16,2.466185455290729,3.676033282115897,4.00590967952347,5.971107029070744
CAMELS-AUS,112102A,chronos,0.6984751437040755,4.145339173545225,11.744733267160584,14.696997013416976,7.5491579288916135,4.454370469068362,1.176526478934757e-16,1.5557673289906886,1.9468392570209252,2.636676349378055,3.2994554708627266
CAMELS-AUS,113004A,chronos,0.6642451793980266,3.244972081957059,13.014819985526472,21.87794505550566,5.600152277043854,3.5854864395558423,1.5859897655657444e-16,2.3240118021213148,3.9066696713208566,3.6298617230689354,6.101806665378387
CAMELS-AUS,114001A,chronos,0.8385071665671153,2.432132549232875,9.609660083455031,18.758695950282466,6.052162952357891,2.3073322617393526,1.4675388397367846e-16,1.5878059065992527,3.0995027889944993,4.164835833488027,8.130036692739461
CAMELS-AUS,116006B,chronos,0.6530765780056458,1.615078250862255,6.970198281520135,14.879341812383204,2.742058765938755,0.7238630242843971,3.2390933073093844e-16,2.541958023694601,5.426339507092657,9.629167463569223,20.55546603874781
CAMELS-AUS,116010A,chronos,0.5178708715785245,3.0727361289582205,13.206382607571085,23.392880761720136,4.425308801401481,1.2700981208061795,2.007042806637227e-16,2.984284984448693,5.286157827971617,10.3979231141516,18.418168154498005
CAMELS-AUS,116011A,chronos,0.9264099884493022,0.5285589168278628,1.4361497340636324,1.729480464982038,1.948426233512128,0.4043589920762005,0.0,0.7370819122440712,0.8876294289389491,3.551670080810255,4.277091641024076
CAMELS-AUS,116012A,chronos,-0.0467861337066257,9.639117470059633,41.78968546845921,86.12926728543549,9.421244883280835,2.3954942953478757,0.0,4.435686152540221,9.142026170902588,17.445120011187704,35.95469521789352
CAMELS-AUS,116013A,chronos,0.7636663938955197,1.1882130513255846,4.78117056328091,8.055958332000907,2.4441709470477386,0.6894505511699622,1.8169318737155778e-16,1.9561522769329958,3.2959880902485668,6.934754864097953,11.684606413513427
CAMELS-AUS,116014A,chronos,0.5733203529826707,1.3161195460070911,5.24121622410036,10.32428704728973,2.0148576816688766,0.48932823462750846,0.0,2.6012835902926597,5.124077566976481,10.71104394392883,21.098899096122853
CAMELS-AUS,116015A,chronos,0.5429718043677361,1.5935915318154998,6.46530120307887,8.980147198767947,2.357249304569432,0.711790622589355,3.7678595046286684e-16,2.742731195442988,3.8095873785434136,9.083150294337075,12.61627635118306
CAMELS-AUS,117002A,chronos,0.3586304593630979,7.045386254374395,30.464530699737875,67.51684317780318,8.797325118300218,1.3203295507629633,2.019201081593618e-16,3.4629310944033977,7.674701374552416,23.073429419294367,51.13635693360647
CAMELS-AUS,117003A,chronos,0.1831195582286428,27.933793249394206,121.11199357202716,270.6758166168023,30.906559716257924,4.099186966849622,1.1495015011106688e-16,3.91865010806486,8.757875968783981,29.545369496797125,66.03158597199257
